Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),"	24h Low (USD)",Adj Close,Volume
USD,5/30/2015,233.345001,237.091995,237.093002,232.046005,233.345001,14098600
USD,5/31/2015,230.190002,233.134995,233.251999,229.542007,230.190002,14730800
USD,6/1/2015,222.925995,230.233002,231.712997,221.296005,222.925995,26090500
USD,6/2/2015,225.802994,222.893997,226.416,222.419006,225.802994,20459000
USD,6/3/2015,225.873993,225.735992,227.404007,223.929993,225.873993,17752400
USD,6/4/2015,224.324005,225.772003,226.580994,224.054001,224.324005,14728100
USD,6/5/2015,224.951996,224.154007,225.968002,223.179001,224.951996,18056500
USD,6/6/2015,225.619003,225.005005,225.718994,224.378998,225.619003,11131500
USD,6/7/2015,222.880997,225.595993,226.194,222.651993,222.880997,13318400
USD,6/8/2015,228.488998,222.878998,229.464005,222.839005,228.488998,23378400
USD,6/9/2015,229.048004,228.537994,230.953995,227.929001,229.048004,28353100
USD,6/10/2015,228.802994,228.994995,229.781998,228.009995,228.802994,15904800
USD,6/11/2015,229.705002,228.854996,230.287003,228.766998,229.705002,14416000
USD,6/12/2015,229.981995,229.705002,231.057007,229.313004,229.981995,14017700
USD,6/13/2015,232.401993,229.919998,232.651993,229.210007,232.401993,13305300
USD,6/14/2015,233.542999,232.442001,234.858002,232.003998,233.542999,12165900
USD,6/15/2015,236.822998,233.421997,237.835999,233.421997,236.822998,19912100
USD,6/16/2015,250.895004,236.764999,251.742004,236.121994,250.895004,41612000
USD,6/17/2015,249.283997,250.822998,256.852997,246.475998,249.283997,43858400
USD,6/18/2015,249.007004,249.427994,252.108002,244.126999,249.007004,30980200
USD,6/19/2015,244.606003,249.042999,250.977005,243.787003,244.606003,23965300
USD,6/20/2015,245.212006,244.529999,245.828003,240.626999,245.212006,20608100
USD,6/21/2015,243.944,245.100006,245.223999,241.882004,243.944,10600900
USD,6/22/2015,246.990005,243.968994,247.917007,243.779007,246.990005,17692500
USD,6/23/2015,244.296005,246.927002,247.304001,243.132996,244.296005,15108700
USD,6/24/2015,240.514999,244.281998,244.341003,240.514999,240.514999,17344900
USD,6/25/2015,242.798996,240.365005,243.332001,240.365005,242.798996,16133100
USD,6/26/2015,243.593994,242.604004,243.748993,241.552994,243.593994,13983500
USD,6/27/2015,250.990005,243.548996,251.339005,243.117004,250.990005,20488600
USD,6/28/2015,249.011002,250.955002,251.171997,247.434006,249.011002,15137600
USD,6/29/2015,257.063995,248.720993,257.173004,248.580994,257.063995,34742900
USD,6/30/2015,263.071991,257.036011,267.867004,255.945999,263.071991,44533800
USD,7/1/2015,258.621002,263.345001,265.171997,255.774002,258.621002,27029800
USD,7/2/2015,255.412003,258.552002,261.631012,254.115997,255.412003,21551900
USD,7/3/2015,256.335999,255.459,257.076996,253.505005,256.335999,19033800
USD,7/4/2015,260.885986,256.490997,261.457001,254.199997,260.885986,15620400
USD,7/5/2015,271.912994,260.804993,274.506012,258.700989,271.912994,44156100
USD,7/6/2015,269.029999,271.108002,277.421997,267.600006,269.029999,49154800
USD,7/7/2015,266.207001,269.963013,271.341003,264.832001,266.207001,28857600
USD,7/8/2015,270.785004,265.981995,272.971008,264.385986,270.785004,36980200
USD,7/9/2015,269.227997,270.826996,272.334991,267.085999,269.227997,40301200
USD,7/10/2015,284.894012,269.156006,294.591003,268.802002,284.894012,100390000
USD,7/11/2015,293.11499,284.880005,298.506012,283.529999,293.11499,41109900
USD,7/12/2015,310.867004,293.140015,314.394012,292.505005,310.867004,56405000
USD,7/13/2015,292.053986,310.826996,310.947998,281.010986,292.053986,62053900
USD,7/14/2015,287.463989,292.033997,296.147003,286.638,287.463989,28727200
USD,7/15/2015,285.82901,288.045013,293.247986,285.367004,285.82901,27486600
USD,7/16/2015,278.088989,286.041992,291.183014,275.23999,278.088989,49482600
USD,7/17/2015,279.471985,278.091003,280.279999,272.042999,279.471985,27591400
USD,7/18/2015,274.901001,279.330994,282.527008,274.075012,274.901001,25187100
USD,7/19/2015,273.614014,274.766998,275.670013,272.513,273.614014,15332500
USD,7/20/2015,278.980988,273.498993,278.980988,272.959991,278.980988,22711400
USD,7/21/2015,275.833008,278.881989,280.546997,275.419006,275.833008,22930700
USD,7/22/2015,277.221985,275.657013,277.665985,274.381012,277.221985,19389800
USD,7/23/2015,276.049011,277.341003,278.110992,275.716003,276.049011,18531300
USD,7/24/2015,288.278015,276.005005,289.252991,275.253998,288.278015,37199400
USD,7/25/2015,288.696991,288.164001,290.733002,286.002014,288.696991,20662200
USD,7/26/2015,292.686005,288.640015,293.052002,287.705994,292.686005,16032300
USD,7/27/2015,293.623993,292.639008,297.773987,287.450012,293.623993,30592000
USD,7/28/2015,294.427002,293.632996,296.648987,293.423004,294.427002,25453600
